fid,gid,emd_cd,emd_nm_k,emd_nm_e,sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,value,stats_year,raw_d_year,NUMPOINTS,CHARGING,공연시설_공연시설접근성,공시지가_공시지가,도서관_도서관접근성,병원_병원접근성,보건기관_보건기관접근성,생활권공원_생활권공원 접근성,소방서_소방서접근성,인구_인구,주제공원_주제공원접근성,주차장_주차장접근성,체육시설__체육시설접근성,초등학교_초등학교접근성
"5310",다라23ba69ab,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.045,"2022","202303",0,0,5.372,,6.664,8.329,3.089,7.677,7.543,,7.354,2.623,2.808,3.003
"5311",다라18ba70ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.278,"2022","202303",0,0,7.49,13270.28,3.362,12.22,3.228,8.588,9.695,0,11.499,3.581,3.767,3.668
"5312",다라24aa72bb,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,7.457,"2022","202303",0,0,8.874,1940.02,6.934,9.588,5.137,9.728,8.71,,8.435,5.02,5.49,5.052
"5313",다라25aa69bb,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.947,"2022","202303",0,0,4.079,3336.83,4.125,4.735,4.495,4.75,3.948,,4.014,3.835,3.33,4.825
"5314",다라23ab69aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.6,"2022","202303",0,0,4.927,20366.09,6.219,7.884,2.644,7.232,7.097,0,6.908,2.178,2.363,2.558
"5315",다라22ba74ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,8.703,"2022","202303",0,0,9.985,10679.71,8.37,11.027,3.943,11.164,10.147,,9.873,6.131,6.601,6.163
"5316",다라22aa68ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.777,"2022","202303",0,0,3.001,18393.85,7.206,9.636,1.822,6.703,9.728,,8.914,1.711,1.526,1.95
"5317",다라24ba68ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.937,"2022","202303",0,0,3.032,1241.11,4.324,7.309,4.186,5.444,5.513,,5.014,3.72,4.163,4.1
"5318",다라22ba67ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.677,"2022","202303",0,0,1.046,7691.45,7.132,15.41,4.112,6.629,9.654,6,11.363,3.995,3.416,4.027
"5319",다라21ba68ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.407,"2022","202303",0,0,3.347,17462.53,7.552,9.645,1.452,7.049,10.075,,8.923,1.341,1.156,1.58
"5320",다라21ba67ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.694,"2022","202303",0,0,2.119,19000,6.987,10.552,2.738,6.485,9.51,,11.219,2.627,2.442,2.866
"5321",다라19aa66aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,6.006,"2022","202303",0,0,5.846,4100.73,10.044,15.52,5.796,11.922,15.882,,16.526,6.482,6.353,6.72
"5322",다라21aa66aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.832,"2022","202303",0,0,3.501,16594.66,7.817,16.954,4.93,8.173,12.451,0,14.101,4.899,4.77,5.685
"5323",다라22aa67aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.264,"2022","202303",0,0,1.211,17573.26,7.146,15.425,3.326,6.644,9.669,,11.377,4.123,3.029,4.156
"5324",다라24aa68aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.317,"2022","202303",0,0,3.411,1840,4.703,6.879,4.289,5.823,5.893,,5.393,3.823,4.008,4.203
"5325",다라23ba71bb,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.635,"2022","202303",0,0,8.416,,8.414,11.068,4.679,11.208,10.19,,9.915,4.562,5.032,4.594
"5326",다라23ab72ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.424,"2022","202303",0,0,8.205,880.66,7.954,10.608,4.469,10.748,9.73,,9.454,4.351,4.822,4.383
"5327",다라23aa73bb,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,7.785,"2022","202303",0,0,10.815,725.58,7.889,10.545,5.435,10.683,9.666,,9.392,7.712,8.182,7.744
"5328",다라22aa67bb,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.651,"2022","202303",0,0,2.1,19147.84,6.465,14.743,2.696,5.962,8.987,,10.696,2.584,2.399,3.419
"5329",다라24aa67ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.43,"2022","202303",0,0,1.525,11867.94,4.67,8.281,5.894,5.952,5.859,,5.36,4.443,4.509,5.257
"5330",다라21aa66bb,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.104,"2022","202303",0,0,2.612,14015.51,7.787,16.065,4.881,7.284,11.48,0,12.018,4.764,3.693,4.796
"5331",다라25aa69ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.239,"2022","202303",0,0,4.135,5941.88,4.766,4.791,4.551,4.806,4.004,0,4.07,3.891,3.386,4.881
"5332",다라26aa73ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.573,"2022","202303",0,0,5.976,870,3.051,5.706,4.511,5.844,4.828,,4.553,4.723,5.754,5.468
"5333",다라23aa71ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.065,"2022","202303",0,0,7.846,,8.901,11.505,4.11,11.695,10.677,,10.401,3.992,4.463,4.024
"5334",다라22aa71ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.497,"2022","202303",0,0,6.279,2381.09,8.03,11.009,2.542,11.262,9.849,,10.287,2.424,2.895,2.457
"5335",다라19aa66bb,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,5.9,"2022","202303",0,0,5.651,4364.6,9.732,15.251,6.189,13.26,14.464,,14.529,6.287,6.16,6.526
"5336",다라21ab71bb,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.588,"2022","202303",0,0,6.859,2484.77,6.96,11.589,2.633,10.91,10.802,,10.868,3.005,2.985,3.037
"5337",다라19bb68bb,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.568,"2022","202303",0,0,4.729,12136.82,6.014,11.919,2.613,8.898,11.132,0,11.197,2.582,2.453,2.82
"5338",다라18ab69bb,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.615,"2022","202303",0,0,6.803,10470.28,4.698,13.552,4.564,8.95,10.058,0,12.83,4.918,5.099,4.999
"5339",다라19bb66ab,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.744,"2022","202303",0,0,4.413,4327.76,7.878,17.866,5.008,9.085,13.281,,15.012,4.976,4.848,5.215
"5340",다라23ab73ab,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,5.236,"2022","202303",0,0,9.017,873.82,7.941,10.596,5.281,10.736,9.718,,9.442,5.163,5.633,5.195
"5341",다라23ab68ab,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.145,"2022","202303",0,0,4.272,1330,5.564,7.23,3.19,6.685,6.443,,6.254,2.724,2.909,3.104
"5342",다라20ab69ab,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.487,"2022","202303",0,0,5.079,12815.5,6.269,10.867,1.531,8.781,10.08,0,10.146,1.606,1.479,1.844
"5343",다라24bb70bb,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,6.253,"2022","202303",0,0,6.385,12036.44,6.431,7.042,6.758,7.057,6.255,,6.32,6.142,5.637,6.673
"5344",다라23ab71bb,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.242,"2022","202303",0,0,8.022,,8.745,11.349,4.286,11.539,10.521,,10.246,4.169,4.639,4.2
"5345",다라23bb70aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.678,"2022","202303",0,0,6.023,,7.314,8.981,3.723,8.328,8.193,,8.004,3.257,3.442,3.638
"5346",다라20ab67ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.829,"2022","202303",0,0,3.745,18457.17,8.574,12.098,2.874,8.207,11.233,0,12.941,2.842,2.714,3.081
"5347",다라22bb66ab,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.306,"2022","202303",0,0,1.093,15686.43,6.3,16.368,5.006,7.587,10.612,,6.989,4.888,4.309,4.921
"5348",다라23bb70ab,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.776,"2022","202303",0,0,6.121,1284.74,7.412,9.079,3.821,8.427,8.292,,8.102,3.355,3.54,3.736
"5349",다라22bb73ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,5.144,"2022","202303",0,0,8.926,712,10.732,13.656,5.189,13.909,12.869,,12.613,5.072,5.542,5.104
"5350",다라18bb68aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.881,"2022","202303",0,0,6.043,1220.04,7.456,13.232,3.926,11.886,12.444,,12.511,3.894,3.767,4.133
"5351",다라21aa67aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.246,"2022","202303",0,0,2.26,18000.91,7.434,15.713,4.529,6.932,9.957,,11.666,4.412,3.341,4.444
"5352",다라20aa69aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.392,"2022","202303",0,0,4.881,14790.97,6.894,11.741,2.436,9.179,10.954,0,11.02,2.404,2.277,2.643
