fid,gid,emd_cd,emd_nm_k,emd_nm_e,sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,value,stats_year,raw_d_year,NUMPOINTS,CHARGING,공연시설_공연시설접근성,공시지가_공시지가,도서관_도서관접근성,병원_병원접근성,보건기관_보건기관접근성,생활권공원_생활권공원 접근성,소방서_소방서접근성,인구_인구,주제공원_주제공원접근성,주차장_주차장접근성,체육시설__체육시설접근성,초등학교_초등학교접근성
"565",다라29ba68aa,"46170123",영산동,Yeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.818,"2022","202303",0,0,3.845,11299.99,2.362,6.633,2.878,2.779,2.864,,2.586,1.839,1.171,2.543
"566",다라29ab67ba,"46170123",영산동,Yeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.847,"2022","202303",0,0,3.874,11300,2.39,6.698,2.907,2.808,2.893,,2.615,1.867,0.364,2.571
"567",다라30ba67aa,"46170123",영산동,Yeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.262,"2022","202303",0,0,5.211,25500,3.727,7.998,3.439,3.335,3.655,,3.952,2.649,3.667,2.971
"568",다라28ba67ba,"46170123",영산동,Yeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.833,"2022","202303",0,0,2.861,23945.96,1.377,5.648,1.893,1.794,1.88,,1.602,0.854,1.316,1.558
"569",다라29ba66ba,"46170123",영산동,Yeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.816,"2022","202303",0,0,4.466,28178.62,3.178,7.253,3.371,3.267,3.586,,3.207,2.581,2.922,2.903
"570",다라29aa67ba,"46170123",영산동,Yeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.418,"2022","202303",0,0,3.446,11300,1.961,6.233,2.478,2.379,2.464,,2.186,1.438,1.901,2.142
"571",다라29aa67bb,"46170123",영산동,Yeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.406,"2022","202303",0,0,3.433,11300,1.95,6.221,2.466,2.367,2.452,,2.174,1.427,0.489,2.131
"572",다라28bb68ba,"46170123",영산동,Yeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.462,"2022","202303",0,0,1.824,,1.42,4.611,2.716,0.979,2.859,,1.635,1.06,0.608,1.35
"573",다라28ab67bb,"46170123",영산동,Yeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.573,"2022","202303",0,0,2.437,,0.992,5.225,1.545,1.446,1.991,,1.178,0.594,1.694,1.21
"574",다라30ba68aa,"46170123",영산동,Yeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.673,"2022","202303",0,0,4.516,26858.17,3.781,5.547,3.706,3.354,4.283,,4.005,3.173,2.052,3.962
"575",다라29aa65bb,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.041,"2022","202303",0,0,4.647,31760.51,2.608,7.435,2.596,2.492,2.811,,3.387,1.806,2.657,2.128
"576",다라29ab66ab,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.762,"2022","202303",0,0,4.368,47677.57,2.329,7.156,2.317,2.213,2.533,9,3.108,1.527,2.379,1.849
"577",다라28bb66aa,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.861,"2022","202303",0,0,3.992,46038.05,1.955,6.78,1.899,1.519,2.114,0,2.733,1.117,1.96,1.3
"578",다라29aa66ba,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.331,"2022","202303",0,2,3.937,64489.92,1.898,6.725,1.886,1.782,2.102,54,2.677,1.096,1.948,1.418
"579",다라29aa66bb,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.514,"2022","202303",0,0,3.742,124413.4,1.703,6.53,1.691,1.587,1.907,25,2.482,0.901,1.753,1.223
"580",다라29aa66ab,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.476,"2022","202303",0,0,4.082,60002.97,2.043,6.87,2.031,1.927,2.246,0,2.822,1.241,2.092,1.563
"581",다라29aa66aa,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.769,"2022","202303",0,0,4.375,43098.92,2.336,7.163,2.324,2.22,2.54,0,3.116,1.534,2.386,1.856
"582",다라28bb67ab,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.895,"2022","202303",0,0,2.923,38011.34,1.439,5.71,1.85,1.746,2.065,0,1.664,0.916,1.868,1.381
"583",다라28ba67aa,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.785,"2022","202303",0,0,3.28,128506.31,1.241,6.068,1.229,1.125,1.444,50,2.02,0.439,1.29,0.761
"584",다라28ba66aa,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.928,"2022","202303",0,0,3.875,30599.81,1.837,6.663,1.782,1.402,1.997,0,2.615,1,1.843,1.183
"585",다라28bb66bb,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.214,"2022","202303",1,0,3.6,167901.49,1.561,6.388,1.549,1.445,1.765,95,2.34,0.759,1.611,1.081
"586",다라28bb67aa,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.957,"2022","202303",0,0,3.449,81436.06,1.41,6.236,1.398,1.294,1.613,13,2.189,0.608,1.459,0.929
"587",다라28bb66ba,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.161,"2022","202303",0,7,3.679,129490.48,1.64,6.467,1.628,1.524,1.844,453,2.42,0.838,1.69,1.361
"588",다라28ba66bb,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.661,"2022","202303",0,0,3.173,130571.58,1.135,5.961,1.122,1.018,1.338,55,1.914,0.332,1.184,0.654
"589",다라29ab66ba,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.288,"2022","202303",0,0,4.516,17967.62,2.477,7.304,2.465,2.361,2.681,,3.257,1.675,2.527,1.997
"590",다라28ba66ba,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.457,"2022","202303",0,0,3.439,61425.36,1.4,6.227,1.388,1.284,1.603,47,2.179,0.598,1.449,1.121
"591",다라29aa67aa,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.73,"2022","202303",0,0,3.762,39788.85,1.723,6.55,1.711,1.607,1.927,,2.503,0.921,1.773,1.243
"592",다라29ab66bb,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.908,"2022","202303",0,0,4.137,32852.06,2.097,6.924,2.085,1.981,2.301,,2.877,1.295,2.147,1.617
"593",다라28ba66ab,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.653,"2022","202303",0,0,3.82,39204.09,1.78,6.607,1.768,1.664,1.984,0,2.56,0.979,1.83,1.46
"594",다라28bb66ab,"46170124",용산동,Yongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.684,"2022","202303",0,0,3.851,49755.72,1.811,6.638,1.799,1.695,2.015,19,2.591,1.009,1.861,1.532
"595",다라30ba65bb,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.488,"2022","202303",0,0,6.094,24000,4.055,8.485,4.043,3.939,4.259,,4.834,3.253,4.105,3.575
"596",다라31aa67bb,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.234,"2022","202303",0,0,6.184,18965.2,4.7,7.369,4.411,4.218,4.627,,4.925,3.621,3.251,3.943
"597",다라30bb65ba,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.899,"2022","202303",0,0,6.505,25462.4,4.466,8.091,4.454,4.35,4.67,0,5.245,3.664,4.516,3.986
"598",다라30bb66bb,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.253,"2022","202303",0,0,5.701,24755.92,4.217,8.283,3.929,3.825,4.145,,4.442,3.139,4.156,3.461
"599",다라30bb66ba,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.885,"2022","202303",0,0,5.842,24448.49,4.452,8.149,4.44,4.336,4.655,0,4.583,3.65,4.297,3.972
"600",다라30ba66ab,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.465,"2022","202303",0,0,6.071,24746.77,4.032,8.859,4.02,3.916,4.236,0,4.811,3.23,4.082,3.552
"601",다라30ab66ba,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.119,"2022","202303",0,0,5.725,24000,3.686,8.513,3.674,3.57,3.889,,4.465,2.884,3.759,3.206
"602",다라31ba66bb,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.809,"2022","202303",0,0,6.473,29067.6,4.92,7.662,4.356,4.276,5.602,9,5.214,4.467,4.349,4.896
"603",다라31aa67aa,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.524,"2022","202303",0,0,5.972,24846.89,4.488,8.016,4.2,4.096,4.415,0,4.713,3.41,3.965,3.732
"604",다라30aa66bb,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.63,"2022","202303",0,0,4.903,22164.22,2.819,7.69,2.807,2.703,3.023,,3.644,2.017,3.359,2.338
"605",다라31aa66bb,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.194,"2022","202303",0,0,5.858,24500,4.374,8.01,4.75,4.646,4.965,,4.599,3.851,4.413,4.281
"606",다라31ab66bb,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.459,"2022","202303",0,0,6.122,25702.13,4.638,7.908,4.306,4.523,5.229,,4.863,4.115,3.869,4.545
"607",다라31ab67aa,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.719,"2022","202303",0,0,6.275,25304.28,4.79,7.678,4.503,4.292,4.718,,5.015,3.713,3.638,4.034
"608",다라30ba65ab,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.677,"2022","202303",0,0,6.305,24801.7,4.266,9.093,4.254,4.025,4.47,0,5.045,3.464,4.316,3.764
"609",다라30bb66ab,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.82,"2022","202303",0,0,6.426,24524.99,4.387,8.225,4.375,4.271,4.591,0,5.166,3.585,4.486,3.907
"610",다라30bb66aa,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.897,"2022","202303",0,0,6.503,24000,4.464,9.291,4.452,4.348,4.668,,5.243,3.662,4.514,3.984
"611",다라30bb67ab,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.674,"2022","202303",0,0,5.623,25566.6,4.139,8.054,3.852,3.747,4.067,,4.364,3.062,3.92,3.383
"612",다라30aa66ab,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.694,"2022","202303",0,0,5.3,24157.46,3.261,8.087,3.249,3.145,3.464,,4.04,2.459,3.31,2.781
"613",다라31bb66bb,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.219,"2022","202303",0,0,6.673,28943.53,4.591,7.332,3.913,3.947,5.941,0,5.691,4.943,4.441,4.941
"614",다라31bb67ab,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.776,"2022","202303",0,0,6.23,26488.22,4.148,6.89,4.445,3.504,5.205,,5.501,4.199,3.771,4.497
"615",다라30ba66aa,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.504,"2022","202303",0,0,6.11,24515.48,4.071,8.627,4.059,3.955,4.274,,4.85,3.269,4.12,3.591
"616",다라31aa66ab,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.195,"2022","202303",0,0,6.801,27279.77,4.762,9.589,4.75,4.646,4.965,6,5.541,3.96,4.861,4.282
"617",다라31aa66ba,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.308,"2022","202303",0,0,5.971,24948.1,4.488,7.799,4.445,4.742,5.078,0,4.713,3.965,4.427,4.395
"618",다라30bb65bb,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.744,"2022","202303",0,0,6.35,24067.06,4.311,8.741,4.299,4.195,4.515,,5.09,3.509,4.361,3.831
"619",다라31ba67aa,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.02,"2022","202303",0,0,6.454,26511.78,4.757,7.498,4.566,4.112,5.813,0,5.195,4.447,3.983,5.106
"620",다라30ab66aa,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.263,"2022","202303",0,0,5.869,25829.58,3.83,8.657,3.818,3.714,4.034,6,4.609,3.028,3.88,3.35
"621",다라31ab66ba,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.765,"2022","202303",0,0,6.541,28262.06,4.903,7.645,4.292,4.588,5.536,12,5.281,4.531,4.35,4.852
"622",다라31aa65bb,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.199,"2022","202303",0,0,6.805,26214.9,4.766,8.716,4.754,4.65,4.969,0,5.545,3.964,4.815,4.286
"623",다라30aa66ba,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.966,"2022","202303",0,0,5.572,24019.05,3.533,8.36,3.521,3.417,3.736,,4.312,2.731,3.407,3.053
"624",다라31aa67ab,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.938,"2022","202303",0,0,5.887,25846.22,4.403,7.598,4.115,4.447,4.33,0,4.628,3.325,3.48,3.646
"625",다라31aa67ba,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.009,"2022","202303",0,0,5.958,26814.25,4.474,7.38,4.186,4.23,4.402,0,4.699,3.396,3.263,3.718
"626",다라31ab67ab,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.211,"2022","202303",0,0,6.16,25946.54,4.676,7.518,4.388,4.148,4.603,,4.901,3.598,3.4,3.92
"627",다라31aa65ba,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.081,"2022","202303",0,0,6.687,26277.58,4.648,7.793,4.25,4.532,4.852,11,5.427,3.846,4.698,4.168
"628",다라31aa66aa,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.329,"2022","202303",0,0,6.935,28538.54,4.896,8.379,4.885,4.78,5.1,0,5.676,4.095,4.946,4.416
"629",다라31ab67ba,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.242,"2022","202303",0,0,6.191,27093.79,4.661,7.282,4.419,4.017,4.635,0,4.933,3.629,3.164,3.951
"630",다라31bb67aa,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.089,"2022","202303",0,0,6.543,24395.69,4.462,7.204,5.424,3.818,5.813,12,5.5,4.752,4.085,4.811
"631",다라31ba67ba,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.473,"2022","202303",0,0,6.281,26935.61,4.497,7.187,4.65,3.853,4.866,,5.022,3.86,3.069,4.182
"632",다라30ba65ba,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.576,"2022","202303",0,0,6.182,24000,4.143,8.97,4.131,4.027,4.346,,4.922,3.341,4.192,3.663
"633",다라31ab66ab,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.671,"2022","202303",0,0,6.446,29175.82,4.961,7.788,4.247,4.731,5.441,28,5.186,4.436,4.493,4.758
"634",다라30ab65ba,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.276,"2022","202303",0,0,5.882,24200.13,3.843,8.67,3.831,3.727,4.047,,4.622,3.041,3.893,3.363
"635",다라30ab65bb,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.384,"2022","202303",0,0,5.99,24000,3.951,8.778,3.94,3.835,4.155,,4.73,3.149,4.001,3.471
"636",다라30ba66ba,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.485,"2022","202303",0,0,6.091,24977.12,4.052,8.879,4.04,3.936,4.255,,4.831,3.25,4.151,3.572
"637",다라31ba66ba,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.855,"2022","202303",0,0,6.518,27692.93,4.862,7.604,3.8,4.547,5.647,7,5.259,4.511,4.309,4.942
"638",다라31ba67ab,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.171,"2022","202303",0,0,6.474,25717.59,4.543,7.284,4.703,3.899,4.918,,5.215,3.913,3.838,4.234
"639",다라30ab66ab,"46170125",관정동,Gwanjeong-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.056,"2022","202303",0,0,5.662,24696.84,3.623,8.45,3.611,3.507,3.827,0,4.402,2.821,3.673,3.143
"640",다라32aa65ba,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.473,"2022","202303",0,0,8.085,18084.82,5.224,7.204,3.247,4.096,6.266,,6.826,5.26,5.237,5.559
"641",다라32aa66aa,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.371,"2022","202303",0,0,7.131,19940.02,4.483,6.64,6.181,3.86,5.833,,5.829,9.01,7.805,4.832
"642",다라31aa65aa,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.607,"2022","202303",0,0,7.436,17758.33,5.196,8.48,4.937,4.581,5.4,,5.976,4.395,5.246,4.694
"643",다라31bb65aa,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.628,"2022","202303",0,0,7.839,13998.1,6.216,8.488,4.636,5.904,6.421,,6.996,5.415,6.267,5.714
"644",다라32aa66ba,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.567,"2022","202303",0,0,7.083,22666.01,4.643,6.649,3.282,3.541,5.85,0,5.823,5.076,4.873,4.81
"645",다라31ba66ab,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.026,"2022","202303",0,0,6.721,32718.67,5.021,7.762,4.403,4.377,5.819,0,5.463,4.813,4.512,5.112
"646",다라31ba65aa,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.439,"2022","202303",0,0,8.051,11655.69,6.027,8.3,4.447,5.715,6.232,,6.807,5.226,6.078,5.525
"647",다라31ba66aa,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.799,"2022","202303",0,0,7.373,31961.29,5.316,8.149,4.176,5.076,5.592,0,6.167,4.586,4.761,4.886
"648",다라31ba65bb,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.758,"2022","202303",0,0,7.365,26301.73,5.325,7.531,3.787,4.425,5.529,,6.105,4.524,5.322,4.845
"649",다라30bb64ba,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.42,"2022","202303",0,0,7.049,25246.36,5.009,9.836,4.998,4.338,5.213,,5.789,4.208,5.059,4.507
"650",다라31ab65aa,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.7,"2022","202303",0,0,7.513,15902.43,5.289,8.557,5.014,4.674,5.493,,6.069,4.488,5.339,4.787
"651",다라30bb64ab,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.32,"2022","202303",0,0,6.948,20977.22,4.909,9.736,4.897,3.978,5.112,0,5.688,4.107,4.958,4.407
"652",다라31bb65bb,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.038,"2022","202303",0,0,7.498,18457.91,5.116,7.121,3.801,4.014,6.058,0,6.633,5.052,5.51,5.282
"653",다라32aa66ab,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.542,"2022","202303",0,0,7.093,31210.07,4.62,6.625,3.258,3.518,5.827,8,5.834,5.086,4.883,4.786
"654",다라31bb65ba,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.163,"2022","202303",0,0,7.775,21506.09,5.43,7.41,3.453,4.302,5.956,,6.531,4.95,5.443,5.249
"655",다라31ab65bb,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.518,"2022","202303",0,0,7.124,30425.38,5.085,7.426,3.895,4.795,5.289,12,5.864,4.283,5.135,4.605
"656",다라32aa66bb,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.407,"2022","202303",0,0,5.99,16670.99,3.909,6.651,4.391,3.655,5.259,,5.489,4.954,4.67,4.374
"657",다라32ab66ba,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.324,"2022","202303",0,0,7.248,24017.02,4.4,6.406,3.039,3.298,5.608,,5.989,5.241,5.038,4.567
"658",다라32ab66ab,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.282,"2022","202303",0,0,7.406,23732.06,4.359,6.365,2.998,3.257,5.567,,5.987,5.4,5.197,4.526
"659",다라31ba65ab,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.24,"2022","202303",0,0,7.853,19601.84,5.829,8.102,4.249,5.517,6.033,,6.609,5.028,5.879,5.327
"660",다라31ba65ba,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.96,"2022","202303",0,0,7.171,17594.31,5.549,7.822,3.969,5.237,5.753,0,6.329,4.748,5.599,5.047
"661",다라31aa64bb,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.369,"2022","202303",0,0,6.998,22638.76,4.959,9.785,4.947,4.343,5.162,0,5.738,4.157,5.008,4.456
"662",다라32aa65bb,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.85,"2022","202303",0,0,8.21,18380.62,4.928,6.934,3.614,3.826,6.364,0,6.556,5.359,5.603,5.094
"663",다라30ba65aa,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.687,"2022","202303",0,0,6.315,25266.49,4.276,9.103,4.264,4.035,4.48,,5.055,3.474,4.326,3.774
"664",다라30bb64bb,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.181,"2022","202303",0,0,6.809,27276.6,4.77,9.597,4.758,4.155,4.974,,5.549,3.968,4.82,4.268
"665",다라32ab66bb,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,11.635,"2022","202303",0,0,9.75,25775.09,11.747,12.538,7.699,11.124,8.309,,9.683,6.909,8.77,7.231
"666",다라31bb65ab,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.297,"2022","202303",0,0,7.91,10588.71,5.885,8.158,4.306,5.573,6.09,,6.665,5.084,5.936,5.383
"667",다라31aa65ab,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.182,"2022","202303",0,0,7.789,17794.19,5.75,10.576,5.738,4.076,6.348,,6.529,4.788,4.958,4.719
"668",다라32aa67ab,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.788,"2022","202303",0,0,6.241,28341.23,4.16,6.901,4.444,3.516,5.51,10,5.739,5.336,4.096,4.509
"669",다라31ab65ba,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.539,"2022","202303",0,0,8.145,15528.36,6.106,10.933,6.094,4.433,6.705,0,6.886,5.145,6.156,5.075
"670",다라32ab65ba,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.79,"2022","202303",0,0,7.707,21874.58,5.036,7.873,2.841,4.766,6.289,6,6.864,5.283,4.831,5.385
"671",다라32ab67aa,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.378,"2022","202303",0,0,5.832,30450.9,3.75,6.491,3.739,3.106,5.1,0,5.33,5.086,4.418,4.099
"672",다라32ab67ab,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.936,"2022","202303",0,0,5.389,38559.93,3.308,6.05,4.02,2.664,4.659,19,4.888,4.888,4.44,3.657
"673",다라30bb65aa,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.046,"2022","202303",0,0,6.673,17141.51,4.635,9.462,4.623,4.393,4.838,0,5.413,3.833,4.684,4.133
"674",다라31bb66ba,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.118,"2022","202303",0,0,6.782,26285.3,4.162,6.904,3.653,5.725,5.513,0,5.522,4.774,4.572,4.627
"675",다라31ab65ab,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.503,"2022","202303",0,0,6.713,19164.77,5.07,8.153,4.61,4.954,5.273,0,5.849,4.268,5.119,4.59
"676",다라30bb65ab,"46170126",평산동,Pyeongsan-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.093,"2022","202303",0,0,6.699,22505.2,4.661,8.168,4.625,4.545,4.864,,5.44,3.859,4.71,4.18
